Epoch, Log-likelihood, Accuracy, RMSE
1, -0.28110,  0.34198,  3.09633
2,  0.12630,  0.34106,  3.09174
3,  0.35705,  0.32859,  3.08985
4,  0.34321,  0.34298,  3.08985
5,  0.49920,  0.34709,  3.08678
6,  0.54508,  0.34544,  3.09312
7,  0.62247,  0.34825,  3.08431
8,  0.55628,  0.34866,  3.08628
9,  0.61853,  0.34998,  3.08721
10,  0.63579,  0.34684,  3.08693
11,  0.65278,  0.35211,  3.08155
12,  0.65411,  0.35371,  3.08120
13,  0.65835,  0.35385,  3.08180
14,  0.66006,  0.35451,  3.08037
15,  0.66297,  0.35590,  3.08011
16,  0.66568,  0.35552,  3.08108
17,  0.66034,  0.35280,  3.07964
18,  0.66912,  0.35621,  3.07939
19,  0.66967,  0.35600,  3.07958
20,  0.66509,  0.35732,  3.08029
